ID,name,full_name,club,age,league,height_cm,weight_kg,nationality,eur_value,eur_wage,overall,potential,pac,sho,pas,dri,def,phy,international_reputation,weak_foot,work_rate_att,work_rate_def,preferred_foot
184941,A. Sánchez,Alexis Sánchez,Arsenal,28,English Premier League,169,62,Chile,67500000,265000,89,89,86,84,80,89,40,78,4,3,High,High,Right
177003,L. Modrić,Luka Modrić,Real Madrid CF,31,Spanish Primera División,174,65,Croatia,57000000,340000,89,89,73,75,86,89,72,65,4,4,High,Medium,Right
173731,G. Bale,Gareth Bale,Real Madrid CF,27,Spanish Primera División,183,74,Wales,69500000,370000,89,89,94,87,84,85,57,76,4,3,High,Medium,Left
153079,S. Agüero,Sergio Agüero,Manchester City,29,English Premier League,173,70,Argentina,66500000,325000,89,89,87,88,75,89,23,72,4,4,High,Medium,Right
138956,G. Chiellini,Giorgio Chiellini,Juventus,32,Italian Serie A,187,85,Italy,38000000,225000,89,89,74,46,56,59,90,85,4,2,Low,High,Left
1179,G. Buffon,Gianluigi Buffon,Juventus,39,Italian Serie A,191,94,Italy,4500000,110000,89,89,89,88,74,84,46,90,4,2,Medium,Medium,Right
211110,P. Dybala,Paulo Dybala,Juventus,23,Italian Serie A,177,73,Argentina,79000000,215000,88,93,86,85,81,91,24,67,3,3,High,Medium,Left
200389,J. Oblak,Jan Oblak,Atlético Madrid,24,Spanish Primera División,189,82,Slovenia,57000000,82000,88,93,84,90,77,84,52,87,3,3,Medium,Medium,Right
194765,A. Griezmann,Antoine Griezmann,Atlético Madrid,26,Spanish Primera División,174,72,France,75000000,150000,88,91,86,85,78,87,30,68,4,3,High,Medium,Left
189509,Thiago,Thiago Alcântara,FC Bayern Munich,26,German Bundesliga,174,70,Spain,70500000,225000,88,90,72,75,85,90,62,63,3,3,Medium,Medium,Right
188567,P. Aubameyang,Pierre-Emerick Aubameyang,Borussia Dortmund,28,German Bundesliga,187,80,Gabon,61000000,165000,88,88,96,84,75,81,37,71,3,4,Medium,Low,Right
184344,L. Bonucci,Leonardo Bonucci,Milan,30,Italian Serie A,190,85,Italy,44000000,210000,88,88,68,54,70,70,87,81,3,3,Low,High,Right
183907,J. Boateng,Jérôme Boateng,FC Bayern Munich,28,German Bundesliga,192,90,Germany,48000000,215000,88,88,75,50,72,67,88,84,4,4,Medium,Medium,Right
182493,D. Godín,Diego Godín,Atlético Madrid,31,Spanish Primera División,186,78,Uruguay,40000000,125000,88,88,67,48,65,63,88,79,3,3,Medium,High,Right
178603,M. Hummels,Mats Hummels,FC Bayern Munich,28,German Bundesliga,191,92,Germany,48000000,215000,88,88,64,58,75,71,89,76,4,3,High,Medium,Right
176635,M. Özil,Mesut Özil,Arsenal,28,English Premier League,180,76,Germany,60000000,265000,88,88,71,74,87,86,24,58,4,2,Medium,Low,Left
167948,H. Lloris,Hugo Lloris,Tottenham Hotspur,30,English Premier League,188,82,France,38000000,165000,88,88,88,86,68,90,64,82,4,1,Medium,Medium,Left
164240,Thiago Silva,Thiago Emiliano da Silva,Paris Saint-Germain,32,French Ligue 1,183,79,Brazil,34000000,175000,88,88,72,56,73,73,89,79,4,3,High,High,Right
41236,Z. Ibrahimović,Zlatan Ibrahimović,Manchester United,35,English Premier League,195,95,Sweden,27000000,240000,88,88,65,88,81,82,32,82,5,4,Medium,Low,Right
9014,A. Robben,Arjen Robben,FC Bayern Munich,33,German Bundesliga,180,80,Netherlands,36000000,225000,88,88,86,86,81,91,32,63,4,2,High,Low,Left
215914,N. Kanté,N'Golo Kanté,Chelsea,26,English Premier League,168,68,France,52500000,190000,87,90,81,66,75,79,81,84,3,3,Medium,High,Right
199556,M. Verratti,Marco Verratti,Paris Saint-Germain,24,French Ligue 1,165,60,Italy,64500000,130000,87,91,65,59,84,89,79,68,3,4,High,High,Right
195864,P. Pogba,Paul Pogba,Manchester United,24,English Premier League,191,84,France,66500000,195000,87,92,74,79,84,85,68,88,4,4,High,Medium,Right
190460,C. Eriksen,Christian Eriksen,Tottenham Hotspur,25,English Premier League,182,76,Denmark,65000000,165000,87,91,75,78,88,84,47,63,3,5,High,Medium,Right
181872,A. Vidal,Arturo Vidal,FC Bayern Munich,30,German Bundesliga,180,75,Chile,37500000,160000,87,87,75,81,80,79,83,84,4,4,High,High,Right
179813,E. Cavani,Edinson Cavani,Paris Saint-Germain,30,French Ligue 1,184,71,Uruguay,48500000,160000,87,87,77,83,72,80,42,81,4,3,High,High,Right
176676,Marcelo,Marcelo Vieira da Silva,Real Madrid CF,29,Spanish Primera División,174,75,Brazil,38000000,250000,87,87,78,69,80,86,83,79,4,4,High,Medium,Left
171877,M. Hamšík,Marek Hamšík,Napoli,29,Italian Serie A,183,79,Slovakia,48500000,130000,87,87,74,80,84,84,68,71,3,5,High,Medium,Right
168651,I. Rakitić,Ivan Rakitić,FC Barcelona,29,Spanish Primera División,184,78,Croatia,48500000,275000,87,87,65,84,86,83,60,66,4,3,Medium,Medium,Right
168542,David Silva,David Josué Jiménez Silva,Manchester City,31,English Premier League,173,67,Spain,44000000,220000,87,87,68,72,87,87,38,61,4,2,High,Low,Left
162835,S. Handanovič,Samir Handanovič,Inter,32,Italian Serie A,193,92,Slovenia,29000000,91000,87,87,87,86,69,87,56,87,3,2,Medium,Medium,Right
152729,Piqué,Gerard Piqué Bernabeu,FC Barcelona,30,Spanish Primera División,194,85,Spain,37500000,240000,87,87,65,61,69,65,86,76,4,3,High,Medium,Right
41,Iniesta,Andrés Iniesta Luján,FC Barcelona,33,Spanish Primera División,171,68,Spain,29500000,260000,87,87,71,70,87,90,58,58,4,4,High,Medium,Right
202126,H. Kane,Harry Kane,Tottenham Hotspur,23,English Premier League,188,86,England,59000000,165000,86,90,73,87,72,78,42,83,3,4,High,High,Right
198710,J. Rodríguez,James Rodríguez,FC Bayern Munich,25,German Bundesliga,180,75,Colombia,56000000,250000,86,89,76,85,85,83,40,68,4,3,Medium,Low,Left
197781,Isco,Francisco Román Alarcón Suárez,Real Madrid CF,25,Spanish Primera División,176,74,Spain,56500000,250000,86,90,71,83,82,89,54,62,3,3,High,Medium,Right
197445,D. Alaba,David Alaba,FC Bayern Munich,25,German Bundesliga,180,76,Austria,44500000,150000,86,88,86,73,81,80,82,74,4,4,High,Medium,Left
192505,R. Lukaku,Romelu Lukaku,Manchester United,24,English Premier League,190,94,Belgium,59000000,210000,86,90,83,85,70,74,34,84,3,4,Medium,Medium,Left
191043,Alex Sandro,Alex Sandro Lobo Silva,Juventus,26,Italian Serie A,181,81,Brazil,44000000,175000,86,88,86,65,77,81,81,84,3,3,High,High,Left
189596,T. Müller,Thomas Müller,FC Bayern Munich,27,German Bundesliga,186,75,Germany,47500000,190000,86,86,77,82,77,78,46,71,4,4,High,High,Right
189511,Sergio Busquets,Sergio Busquets Burgos,FC Barcelona,28,Spanish Primera División,189,76,Spain,36000000,250000,86,86,40,59,79,74,82,81,4,3,Medium,Medium,Right
189242,Coutinho,Philippe Coutinho Correia,Liverpool,25,English Premier League,171,71,Brazil,56000000,205000,86,89,82,78,83,88,35,64,3,4,High,High,Right
188350,M. Reus,Marco Reus,Borussia Dortmund,28,German Bundesliga,180,75,Germany,45000000,120000,86,86,88,87,84,86,39,64,4,4,Medium,Medium,Right
184087,T. Alderweireld,Toby Alderweireld,Tottenham Hotspur,28,English Premier League,187,91,Belgium,40500000,165000,86,87,66,58,72,65,87,80,3,3,Medium,Medium,Right
179944,David Luiz,David Luiz Moreira Marinho,Chelsea,30,English Premier League,189,84,Brazil,33000000,190000,86,86,70,64,74,71,84,81,4,3,Medium,Medium,Right
179844,Diego Costa,Diego da Silva Costa,Chelsea,28,English Premier League,186,87,Spain,46000000,235000,86,86,75,83,65,76,40,88,4,4,High,Medium,Right
178518,R. Nainggolan,Radja Nainggolan,Roma,29,Italian Serie A,176,77,Belgium,42500000,130000,86,86,78,80,78,82,81,83,3,3,High,High,Right
177610,Javi Martínez,Javier Martínez Aginaga,FC Bayern Munich,28,German Bundesliga,190,81,Spain,36000000,165000,86,86,50,60,69,65,86,80,3,3,Medium,Medium,Right
175943,D. Mertens,Dries Mertens,Napoli,30,Italian Serie A,169,61,Belgium,43000000,135000,86,86,90,82,79,89,36,55,3,4,High,Low,Right
172879,Sokratis,Sokratis Papastathopoulos,Borussia Dortmund,29,German Bundesliga,186,85,Greece,34500000,110000,86,86,78,52,55,60,87,84,3,3,Medium,High,Right
168609,Miranda,João Miranda de Souza Filho,Inter,32,Italian Serie A,186,78,Brazil,25500000,115000,86,86,71,49,60,67,88,77,3,3,Medium,Medium,Right
165153,K. Benzema,Karim Benzema,Real Madrid CF,29,Spanish Primera División,187,79,France,44500000,295000,86,86,78,82,78,82,22,74,4,4,Medium,Low,Right
162895,Cesc Fàbregas,Francesc Fàbregas i Soler,Chelsea,30,English Premier League,180,77,Spain,41000000,210000,86,86,63,77,88,80,61,64,4,3,High,Medium,Right
156616,F. Ribéry,Franck Ribéry,FC Bayern Munich,34,German Bundesliga,170,72,France,22500000,175000,86,86,82,76,83,90,25,58,4,4,High,Medium,Right
120533,Pepe,Képler Laveran Lima Ferreira,Beşiktaş JK,34,Turkish Süper Lig,188,81,Portugal,13500000,94000,86,86,68,51,57,61,86,80,4,3,Medium,High,Right
48940,P. Čech,Petr Čech,Arsenal,35,English Premier League,196,90,Czech Republic,10500000,92000,86,86,82,87,76,81,42,83,4,3,Medium,Medium,Left
208418,Y. Carrasco,Yannick Carrasco,Atlético Madrid,23,Spanish Primera División,180,67,Belgium,51500000,77000,85,90,88,79,78,88,29,63,3,4,High,Medium,Right
201535,R. Varane,Raphaël Varane,Real Madrid CF,24,Spanish Primera División,191,78,France,46500000,175000,85,92,83,45,61,64,84,79,3,3,Medium,High,Right
201153,Morata,Álvaro Borja Morata Martín,Chelsea,24,English Premier League,189,85,Spain,51000000,170000,85,89,83,81,71,80,24,74,3,4,High,High,Right
200145,Casemiro,Carlos Henrique Venancio Casimiro,Real Madrid CF,25,Spanish Primera División,184,80,Brazil,42000000,195000,85,89,62,68,74,72,84,86,3,3,Medium,High,Right
198219,L. Insigne,Lorenzo Insigne,Napoli,26,Italian Serie A,163,59,Italy,45000000,115000,85,86,90,74,82,89,25,50,3,3,High,Medium,Right
193747,Koke,Jorge Resurrección,Atlético Madrid,25,Spanish Primera División,178,74,Spain,47500000,84000,85,88,72,75,86,82,65,76,3,4,High,High,Right
193301,A. Lacazette,Alexandre Lacazette,Arsenal,26,English Premier League,175,73,France,48500000,180000,85,88,86,83,71,85,38,77,3,3,High,Medium,Right
193041,K. Navas,Keylor Navas,Real Madrid CF,30,Spanish Primera División,185,78,Costa Rica,24500000,165000,85,85,89,78,72,88,53,80,3,3,Medium,Medium,Right
192883,H. Mkhitaryan,Henrikh Mkhitaryan,Manchester United,28,English Premier League,177,75,Armenia,39000000,195000,85,85,86,79,80,87,54,70,3,5,High,High,Right
192593,D. Subašić,Danijel Subašić,AS Monaco,32,French Ligue 1,191,84,Croatia,22000000,46000,85,85,84,79,79,87,53,85,3,2,Medium,Medium,Right
192563,B. Leno,Bernd Leno,Bayer 04 Leverkusen,25,German Bundesliga,190,83,Germany,34000000,61000,85,88,85,84,74,83,49,85,3,4,Medium,Medium,Right
192448,M. ter Stegen,Marc-André ter Stegen,FC Barcelona,25,Spanish Primera División,187,85,Germany,35500000,155000,85,89,84,83,87,86,45,81,3,4,Medium,Medium,Right
190547,K. Glik,Kamil Glik,AS Monaco,29,French Ligue 1,190,80,Poland,30000000,60000,85,85,56,32,44,53,86,84,3,2,Low,Medium,Right
189332,Jordi Alba,Jordi Alba Ramos,FC Barcelona,28,Spanish Primera División,170,68,Spain,30500000,215000,85,85,93,69,75,82,81,72,3,3,High,Medium,Left
186942,I. Gündoğan,İlkay Gündoğan,Manchester City,26,English Premier League,180,80,Germany,46000000,190000,85,87,71,74,83,87,64,71,3,4,High,Medium,Right
184432,Azpilicueta,César Azpilicueta Tanco,Chelsea,27,English Premier League,178,78,Spain,37500000,160000,85,87,79,55,75,74,86,78,3,3,Medium,Medium,Right
183898,A. Di María,Ángel Di María,Paris Saint-Germain,29,French Ligue 1,180,75,Argentina,37500000,145000,85,85,86,77,82,86,47,68,4,2,High,Medium,Left
180206,M. Pjanić,Miralem Pjanić,Juventus,27,Italian Serie A,180,70,Bosnia Herzegovina,43500000,160000,85,86,74,71,86,86,67,69,3,4,Medium,Medium,Right
173210,C. Marchisio,Claudio Marchisio,Juventus,31,Italian Serie A,180,73,Italy,33000000,160000,85,85,78,72,83,84,76,74,3,4,High,High,Right
172871,J. Vertonghen,Jan Vertonghen,Tottenham Hotspur,30,English Premier League,189,88,Belgium,28500000,130000,85,85,67,65,73,70,85,81,3,3,High,High,Left
170890,B. Matuidi,Blaise Matuidi,Juventus,30,Italian Serie A,175,70,France,28500000,145000,85,85,78,67,77,75,83,84,3,2,High,High,Left
167628,S. Ruffier,Stéphane Ruffier,AS Saint-Étienne,30,French Ligue 1,188,93,France,24500000,49000,85,85,82,84,77,87,48,85,3,3,Medium,Medium,Right
164169,Filipe Luís,Filipe Luís Kasmirski,Atlético Madrid,31,Spanish Primera División,182,73,Brazil,25000000,81000,85,85,79,62,77,77,82,79,3,3,High,Medium,Left
139720,V. Kompany,Vincent Kompany,Manchester City,31,English Premier League,193,85,Belgium,26000000,170000,85,85,63,54,65,64,84,83,4,3,Medium,Medium,Right
137186,A. Barzagli,Andrea Barzagli,Juventus,36,Italian Serie A,187,87,Italy,5000000,105000,85,85,71,34,57,64,88,73,3,3,Low,High,Right
225508,E. Bailly,Eric Bailly,Manchester United,23,English Premier League,187,77,Ivory Coast,35500000,150000,84,89,78,42,59,65,84,84,2,3,Medium,High,Right
220834,Marco Asensio,Marco Asensio Willemsen,Real Madrid CF,21,Spanish Primera División,180,75,Spain,46000000,175000,84,92,82,82,83,83,39,61,3,3,Medium,Medium,Left
218667,Bernardo Silva,Bernardo Mota Carvalho e Silva,Manchester City,22,English Premier League,173,64,Portugal,43500000,165000,84,91,81,72,81,90,45,61,2,3,Medium,Medium,Left
212218,A. Laporte,Aymeric Laporte,Athletic Club de Bilbao,23,Spanish Primera División,189,85,France,35500000,36000,84,89,69,50,66,61,86,78,2,2,Medium,Medium,Left
211117,D. Alli,Dele Alli,Tottenham Hotspur,21,English Premier League,188,80,England,43000000,115000,84,90,76,81,77,82,64,78,3,3,High,Medium,Right
208722,S. Mané,Sadio Mané,Liverpool,25,English Premier League,175,69,Senegal,39000000,175000,84,87,93,78,75,85,36,75,3,3,High,Medium,Right
204963,Carvajal,Daniel Carvajal Ramos,Real Madrid CF,25,Spanish Primera División,173,73,Spain,32000000,195000,84,87,82,45,73,79,83,79,3,3,High,Medium,Right
202166,J. Draxler,Julian Draxler,Paris Saint-Germain,23,French Ligue 1,187,72,Germany,39500000,120000,84,87,78,80,82,86,34,64,3,5,Medium,Low,Right
201399,M. Icardi,Mauro Icardi,Inter,24,Italian Serie A,181,75,Argentina,42000000,105000,84,89,78,83,61,75,26,70,3,4,Medium,Low,Right
201024,K. Koulibaly,Kalidou Koulibaly,Napoli,26,Italian Serie A,195,89,Senegal,32500000,96000,84,87,73,26,43,56,85,86,3,2,High,High,Right
200316,T. Horn,Timo Horn,1. FC Köln,24,German Bundesliga,192,90,Germany,31000000,39000,84,90,83,81,83,86,48,82,2,4,Medium,Medium,Left
192774,K. Manolas,Kostas Manolas,Roma,26,Italian Serie A,189,83,Greece,31500000,96000,84,86,80,19,42,60,86,83,3,2,Low,High,Right
192227,S. Mustafi,Shkodran Mustafi,Arsenal,25,English Premier League,184,82,Germany,31500000,145000,84,86,67,57,63,62,83,79,3,3,Medium,High,Right
191740,Ander Herrera,Ander Herrera Agüera,Manchester United,27,English Premier League,182,70,Spain,32000000,190000,84,84,73,72,81,83,78,77,3,4,High,High,Right
191202,N. Matić,Nemanja Matić,Manchester United,28,English Premier League,194,85,Serbia,25000000,180000,84,84,64,70,77,72,80,87,3,3,Medium,High,Left
189712,K. Strootman,Kevin Strootman,Roma,27,Italian Serie A,186,78,Netherlands,35000000,105000,84,85,67,74,82,78,78,82,3,3,High,High,Left
189505,Pedro,Pedro Rodríguez Ledesma,Chelsea,29,English Premier League,169,65,Spain,30500000,200000,84,84,82,77,77,85,37,62,3,5,High,Medium,Right
189117,R. Bürki,Roman Bürki,Borussia Dortmund,26,German Bundesliga,187,85,Switzerland,26000000,69000,84,86,84,83,73,85,48,79,3,2,Medium,Medium,Right
184120,Bruno,Bruno Soriano Llido,Villarreal CF,33,Spanish Primera División,184,73,Spain,18500000,59000,84,84,41,72,79,75,78,77,3,3,Medium,High,Left
181458,I. Perišić,Ivan Perišić,Inter,28,Italian Serie A,187,80,Croatia,31500000,110000,84,84,84,80,78,82,42,75,3,5,High,Medium,Right
180930,E. Džeko,Edin Džeko,Roma,31,Italian Serie A,193,84,Bosnia Herzegovina,28000000,115000,84,84,64,83,70,74,32,72,3,4,Medium,Medium,Right
180403,Willian,Willian Borges da Silva,Chelsea,28,English Premier League,175,77,Brazil,31500000,200000,84,84,88,76,81,86,49,64,3,4,High,High,Right
179846,S. Khedira,Sami Khedira,Juventus,30,Italian Serie A,189,89,Germany,29000000,160000,84,84,64,74,80,76,80,84,3,4,High,High,Right
179783,R. Fährmann,Ralf Fährmann,FC Schalke 04,28,German Bundesliga,196,95,Germany,25000000,54000,84,85,83,86,52,87,43,85,2,2,Medium,Medium,Right
178750,Sergio Asenjo,Sergio Asenjo Andrés,Villarreal CF,28,Spanish Primera División,189,87,Spain,25000000,46000,84,85,86,83,76,85,56,82,2,3,Medium,Medium,Right
178088,Juan Mata,Juan Manuel Mata García,Manchester United,29,English Premier League,170,63,Spain,30500000,195000,84,84,67,76,84,84,32,55,3,3,Medium,Medium,Left
177509,M. Benatia,Medhi Benatia,Juventus,30,Italian Serie A,190,92,Morocco,23000000,145000,84,84,74,42,54,64,85,82,3,3,Medium,High,Right
167397,Falcao,Radamel Falcao García Zarate,AS Monaco,31,French Ligue 1,177,72,Colombia,28000000,68000,84,84,69,84,68,78,37,74,3,4,High,Medium,Right
165229,L. Koscielny,Laurent Koscielny,Arsenal,31,English Premier League,186,75,France,21000000,150000,84,84,75,41,62,65,85,78,3,3,Medium,High,Right
164468,G. Cahill,Gary Cahill,Chelsea,31,English Premier League,193,86,England,21000000,160000,84,84,63,58,52,61,84,78,3,3,Medium,Medium,Right
146530,Dani Alves,Daniel Alves da Silva,Paris Saint-Germain,34,French Ligue 1,172,68,Brazil,9000000,115000,84,84,82,68,81,85,77,66,4,3,High,Low,Right
143076,A. Gómez,Alejandro Gómez,Atalanta,29,Italian Serie A,165,68,Argentina,31000000,60000,84,84,90,77,80,89,31,58,3,4,High,Medium,Right
106231,Aduriz,Aritz Aduriz Zubeldia,Athletic Club de Bilbao,36,Spanish Primera División,182,78,Spain,11000000,38000,84,84,70,83,65,77,46,80,3,3,High,Medium,Right
231747,K. Mbappé,Kylian Mbappé,Paris Saint-Germain,18,French Ligue 1,178,73,France,41500000,31000,83,94,90,80,74,85,47,74,3,4,High,Medium,Right
231443,O. Dembélé,Ousmane Dembélé,FC Barcelona,20,Spanish Primera División,178,67,France,40000000,150000,83,92,91,76,75,89,33,56,3,5,High,Low,Left
220971,N. Keïta,Naby Keïta,RB Leipzig,22,German Bundesliga,172,64,Guinea,34000000,68000,83,88,73,71,77,89,62,70,2,3,High,Medium,Right
216460,J. Giménez,José María Giménez,Atlético Madrid,22,Spanish Primera División,185,76,Uruguay,28500000,53000,83,87,70,45,51,52,84,81,2,3,Medium,High,Right
215316,G. Rulli,Gerónimo Rulli,Real Sociedad,25,Spanish Primera División,189,84,Argentina,25500000,28000,83,89,85,79,75,86,51,82,3,3,Medium,Medium,Right
213565,T. Lemar,Thomas Lemar,AS Monaco,21,French Ligue 1,170,58,France,38500000,37000,83,91,85,78,80,86,62,70,3,2,High,Medium,Left
212814,João Mário,João Mário Naval Costa Eduardo,Inter,24,Italian Serie A,179,73,Portugal,34000000,70000,83,88,73,70,80,83,70,71,3,4,Medium,High,Right
212190,N. Süle,Niklas Süle,FC Bayern Munich,21,German Bundesliga,195,97,Germany,30500000,78000,83,89,65,41,51,49,83,81,2,3,Medium,Medium,Right
210257,Ederson,Ederson Santana de Moraes,Manchester City,23,English Premier League,188,86,Brazil,26000000,87000,83,89,81,76,82,87,63,78,2,2,Medium,Medium,Left
209658,L. Goretzka,Leon Goretzka,FC Schalke 04,22,German Bundesliga,189,79,Germany,34000000,46000,83,88,85,74,80,80,78,76,3,4,High,High,Right
209499,Fabinho,Fábio Henrique Tavares,AS Monaco,23,French Ligue 1,188,78,Brazil,29500000,37000,83,88,74,65,76,76,83,83,3,2,Medium,Medium,Right
209331,M. Salah,Mohamed Salah,Liverpool,25,English Premier League,175,71,Egypt,32500000,135000,83,86,93,73,74,87,45,66,3,2,High,Medium,Left
208596,A. Belotti,Andrea Belotti,Torino,23,Italian Serie A,181,72,Italy,37000000,58000,83,90,82,81,57,78,29,84,3,5,High,High,Right
208448,E. Forsberg,Emil Forsberg,RB Leipzig,25,German Bundesliga,179,78,Sweden,31500000,75000,83,85,75,74,83,83,30,66,2,4,High,Medium,Right
207865,Marquinhos,Marcos Aoas Corrêa,Paris Saint-Germain,23,French Ligue 1,183,75,Brazil,30500000,75000,83,89,71,38,68,69,84,76,3,3,Medium,Medium,Right
207566,William Carvalho,William Silva de Carvalho,Sporting CP,25,Portuguese Primeira Liga,187,83,Portugal,27500000,21000,83,86,53,57,77,74,80,83,3,4,Medium,Medium,Right
205600,S. Umtiti,Samuel Umtiti,FC Barcelona,23,Spanish Primera División,182,75,France,29500000,135000,83,88,74,64,71,71,82,79,3,3,Medium,High,Left
204485,R. Mahrez,Riyad Mahrez,Leicester City,26,English Premier League,179,67,Algeria,30500000,88000,83,84,82,74,78,88,28,55,3,4,Medium,Medium,Left
203376,V. van Dijk,Virgil van Dijk,Southampton,25,English Premier League,193,92,Netherlands,27500000,89000,83,86,73,60,67,69,83,85,3,3,High,Medium,Right
201942,Roberto Firmino,Roberto Firmino Barbosa de Oliveira,Liverpool,25,English Premier League,181,76,Brazil,33000000,135000,83,86,77,81,79,85,46,77,3,4,High,High,Right
200888,Danilo Pereira,Danilo Luís Hélio Pereira,FC Porto,25,Portuguese Primeira Liga,188,83,Portugal,27500000,18000,83,86,68,62,69,74,82,87,3,3,Medium,High,Right
199715,Vitolo,Víctor Machín Pérez,UD Las Palmas,27,Spanish Primera División,184,80,Spain,27000000,68000,83,83,80,77,79,83,28,76,2,4,High,High,Right
199482,A. Lopes,Anthony Lopes,Olympique Lyonnais,26,French Ligue 1,184,81,Portugal,21500000,60000,83,85,86,79,73,85,62,79,2,1,Medium,Medium,Left
198176,S. de Vrij,Stefan de Vrij,Lazio,25,Italian Serie A,189,78,Netherlands,29000000,56000,83,88,68,41,58,65,85,76,3,4,Medium,High,Right
198009,M. Perin,Mattia Perin,Genoa,24,Italian Serie A,188,77,Italy,25000000,28000,83,88,80,85,71,90,56,78,2,3,Medium,Medium,Right
197061,J. Matip,Joel Matip,Liverpool,25,English Premier League,195,90,Cameroon,26500000,110000,83,85,67,46,68,66,84,78,2,2,Medium,Medium,Right
193474,I. Gueye,Idrissa Gueye,Everton,27,English Premier League,174,66,Senegal,24500000,115000,83,84,76,60,70,77,83,81,2,3,Medium,High,Right
192629,Iago Aspas,Iago Aspas Juncal,RC Celta de Vigo,29,Spanish Primera División,176,67,Spain,26000000,39000,83,83,81,83,73,85,29,63,2,3,High,High,Left
192387,C. Immobile,Ciro Immobile,Lazio,27,Italian Serie A,185,85,Italy,30500000,70000,83,84,83,84,61,79,38,76,3,4,High,Medium,Right
192366,N. Otamendi,Nicolás Otamendi,Manchester City,29,English Premier League,183,81,Argentina,20000000,140000,83,83,63,56,59,54,83,81,3,3,High,High,Right
191180,J. Pastore,Javier Pastore,Paris Saint-Germain,28,French Ligue 1,187,78,Argentina,25500000,100000,83,83,71,75,83,85,58,64,3,4,High,Medium,Right
189513,Parejo,Daniel Parejo Muñoz,Valencia CF,28,Spanish Primera División,182,74,Spain,25500000,45000,83,83,52,77,87,78,61,69,2,4,Medium,Low,Right
189358,S. Kagawa,Shinji Kagawa,Borussia Dortmund,28,German Bundesliga,175,68,Japan,26000000,75000,83,83,70,68,76,87,34,49,3,4,Medium,Medium,Right
189125,G. Bonaventura,Giacomo Bonaventura,Milan,27,Italian Serie A,181,75,Italy,26500000,115000,83,83,78,77,82,83,67,73,3,3,High,Medium,Right
189068,B. Dost,Bas Dost,Sporting CP,28,Portuguese Primeira Liga,196,89,Netherlands,27000000,28000,83,83,60,83,57,64,43,83,3,3,Medium,Medium,Right
188377,K. Walker,Kyle Walker,Manchester City,27,English Premier League,183,83,England,24000000,130000,83,84,90,63,73,76,80,81,3,2,High,Medium,Right
188152,Oscar,Oscar dos Santos Emboaba,,25,,179,67,Brazil,0,0,83,86,74,75,79,82,43,47,3,3,Medium,High,Right
187936,S. N'Zonzi,Steven N'Zonzi,Sevilla FC,28,Spanish Primera División,190,75,France,21000000,25000,83,83,57,67,73,71,80,88,2,3,Medium,Medium,Right
186547,M. Musacchio,Mateo Musacchio,Milan,26,Italian Serie A,180,73,Argentina,27000000,105000,83,86,70,51,67,58,84,78,3,3,Medium,Medium,Right
